year,team,player,pos,goals,assists,plus.minus,toi,dps,ops,dps.sr,ops.sr
1999,BUF,Joe Juneau,C,1,1,-1,155,0.13567575669899218,NA,-0.1,0.1
1999,BUF,Rhett Warrener,D,1,0,3,237,0.7141610252765895,NA,0,0.7
1999,BUF,Jean-Luc Grand-Pierre,D,0,1,0,218,0.44304129591247987,NA,-0.1,0.4
1999,BUF,Jason Holland,D,0,0,-1,33,-0.010436128568353572,NA,0,0
1999,BUF,Mike Hurlbut,D,0,0,2,18,0.19158541702958934,NA,0,0.2
1999,BUF,Rumun Ndur,D,0,0,1,88,0.25634437079500527,NA,-0.1,0.3
1999,BUF,Domenic Pittis,C,0,0,0,26,0.029258682843416855,NA,-0.1,0
1999,BUF,Cory Sarich,D,0,0,3,53,0.3402179131302761,NA,-0.1,0.3
1999,BUF,Dean Sylvester,RW,0,0,-1,15,-0.02167427295308583,NA,0,0
1999,CAR,Keith Primeau,C,30,32,8,1665,2.0852368095551723,NA,5.1,2
1999,CAR,Sami Kapanen,LW,24,35,-1,1573,1.6614148841795913,NA,4.5,1.6
1999,CAR,Ray Sheppard,RW,25,33,4,1347,1.484126795597105,NA,5.1,1.5
1999,CAR,Ron Francis*,C,21,31,-2,1797,1.8384656020096894,NA,2.8,1.7
1999,CAR,Gary Roberts,LW,14,28,2,1509,1.7084939574360463,NA,1.8,1.6
1999,CAR,Jeff O'Neill,C,16,15,3,1255,1.4543383595636676,NA,1.6,1.4
1999,CAR,Martin Gelinas,LW,13,15,3,1004,1.2014192964893882,NA,1.6,1.1
1999,CAR,Robert Kron,LW,9,16,-13,1218,0.8127035758023471,NA,0.3,0.7
1999,CAR,Glen Wesley,D,7,17,14,1666,4.248265120825224,NA,1.5,4.1
1999,CAR,Nelson Emerson,RW,8,13,1,508,0.540008888474554,NA,1.7,0.6
1999,CAR,Paul Ranheim,LW,9,10,4,705,0.9169982741063856,NA,1,0.9
1999,CAR,Kevin Dineen,RW,8,10,5,668,0.8528894123878363,NA,0.9,0.9
1999,CAR,Bates Battaglia,LW,7,11,7,593,0.9121968878916972,NA,1,0.9
1999,CAR,Kent Manderville,LW,5,11,9,657,1.058872846665207,NA,0.4,1
1999,CAR,Nolan Pratt,D,1,14,15,1022,3.1030032739141724,NA,0.6,3
1999,CAR,Andrei Kovalenko,RW,6,6,3,250,0.3629350477950265,NA,1.2,0.4
1999,CAR,Marek Malik,D,2,9,-6,1104,1.631154539796148,NA,0.2,1.5
1999,CAR,Paul Coffey*,D,2,8,-1,866,1.566773612219303,NA,0.4,1.5
1999,CAR,Sean Hill,D,0,10,9,1028,2.6493834069154536,NA,0,2.6
1999,CAR,Curtis Leschyshyn,D,2,7,-1,1255,2.3053685523315104,NA,-0.1,2.2
1999,CAR,Steve Chiasson,D,1,8,7,649,1.7747714576346012,NA,0.4,1.7
1999,CAR,Adam Burt,D,0,3,3,951,2.0381713033375233,NA,-0.6,1.9
1999,CAR,Steven Halko,D,0,3,5,319,0.9931958889848499,NA,0,1
1999,CAR,Dave Karpa,D,0,2,1,558,1.1369775310192134,NA,-0.4,1.1
1999,CAR,Mike Rucinski,D,0,1,1,157,0.3755981711606145,NA,-0.1,0.4
1999,CAR,Craig MacDonald,C,0,0,0,27,0.02878749337795506,NA,-0.1,0
1999,CAR,Byron Ritchie,C,0,0,0,10,0.010662034584427799,NA,0,0
1999,CAR,Shane Willis,RW,0,0,-2,16,-0.061714362983054806,NA,0,-0.1
1999,CGY,Theoren Fleury,RW,30,39,18,1413,1.8448100837969774,NA,6.6,2
1999,CGY,Cory Stillman,C,27,30,7,1240,1.5307036173495452,NA,5.5,1.4
1999,CGY,Phil Housley*,D,11,43,14,1648,3.9751008705735047,NA,5.1,3.8
1999,CGY,Valeri Bure,RW,26,27,0,1295,1.0514813157773466,NA,4.8,1.2
1999,CGY,Jarome Iginla*,RW,28,23,1,1353,1.1373256938552205,NA,4.6,1.3
1999,CGY,Andrew Cassels,C,12,25,-12,1328,0.8838145749749283,NA,1.6,0.7
1999,CGY,Derek Morris,D,7,27,4,1472,2.891432202616144,NA,2.8,2.7
1999,CGY,Jeff Shantz,C,12,17,15,1158,1.7574256855768253,NA,1.2,1.6
1999,CGY,Jason Wiemer,C,8,13,-12,1036,0.5872352208037852,NA,0.3,0.5
1999,CGY,Clarke Wilm,C,10,8,11,900,1.3403755182536927,NA,0.5,1.2
1999,CGY,Steve Smith,D,1,14,3,1556,2.9612397201811476,NA,0.1,2.8
1999,CGY,Andrei Nazarov,LW,5,9,1,523,0.6899032283839432,NA,0.6,0.5
1999,CGY,Steve Dubinsky,C,4,10,-7,893,0.6357476239074707,NA,-0.5,0.5
1999,CGY,Cale Hulse,D,3,9,-8,1214,1.508957348428702,NA,0.3,1.4
1999,CGY,Hnat Domenichelli,C,5,5,-4,299,0.1486851075855209,NA,0.8,0.1
1999,CGY,Todd Simpson,D,2,8,18,1264,3.611693925812353,NA,0,3.5
1999,CGY,Rene Corbet,LW,5,4,-2,362,0.3731999075628096,NA,0.5,0.2
1999,CGY,Ed Ward,RW,3,5,-4,546,0.28832323183890946,NA,-0.3,0.3
1999,CGY,Denis Gauthier,D,3,4,3,698,1.4565780884733244,NA,0.3,1.4
1999,CGY,Dave Roche,C,3,3,-1,261,0.22634218345246052,NA,0.2,0.2
1999,CGY,Tommy Albelin,D,1,5,-11,1148,1.1607081075536814,NA,-0.4,1
1999,CGY,Michael Nylander,C,2,3,1,101,0.14133496110217605,NA,0.5,0.1
1999,CGY,Bob Bassen,C,1,2,-13,517,0.021344882840177704,NA,-1,0
1999,CGY,Greg Pankewicz,RW,0,3,0,134,0.10880192765572544,NA,0,0.1
1999,CGY,Marty McInnis,C,1,1,-1,83,0.045550659334434786,NA,0.1,0
1999,CGY,Martin St. Louis*,C,1,1,-2,107,0.031176038202782416,NA,0,0
1999,CGY,Wade Belak,D,0,1,3,97,0.4026134723236719,NA,0,0.4
1999,CGY,Eric Charron,D,0,1,-6,165,-0.17565407077425685,NA,-0.1,-0.2
1999,CGY,Rico Fata,C,0,1,0,152,0.1543837734041568,NA,-0.3,0.1
1999,CGY,Eric Landry,C,0,1,1,30,0.06922148799891861,NA,0,0.1
1999,CGY,Chris O'Sullivan,D,0,1,-1,91,0.08208331176308631,NA,0,0.1
1999,CGY,Tom Chorske,LW,0,0,-5,97,-0.07298683789638687,NA,-0.3,-0.1
1999,CGY,Chris Dingman,LW,0,0,-2,16,-0.0575814859445916,NA,0,-0.1
1999,CGY,Sami Helenius,D,0,0,-2,41,-0.08310294532091723,NA,0,-0.1
1999,CGY,Lee Sorochan,D,0,0,-3,31,-0.1781418069873066,NA,0,-0.2
1999,CGY,Rocky Thompson,RW,0,0,0,6,0.004871728103987706,NA,0,0
1999,CHI,Tony Amonte,RW,44,31,0,1820,1.308277243064068,NA,7.6,1.7
1999,CHI,Alex Zhamnov,C,20,41,-10,1634,1.3588652670296129,NA,4.1,1.1
1999,CHI,Doug Gilmour*,C,16,40,-16,1619,1.1103276313070318,NA,3.2,0.9
1999,CHI,Eric Daze,LW,22,20,-13,1171,0.8598442064712325,NA,3.6,0.6
1999,CHI,Chris Chelios*,D,8,26,-4,1776,3.0646353520848604,NA,2.6,2.8
1999,CHI,Chad Kilger,C,14,11,-1,899,0.9220760576389878,NA,1.7,0.8
1999,CHI,Ed Olczyk,C,10,15,-3,899,0.844574044827002,NA,1.3,0.7
1999,CHI,Bob Probert,LW,7,14,-11,829,0.5390937059662192,NA,0.7,0.3
1999,CHI,Dave Manson,D,6,15,4,1447,3.0595063646615506,NA,1.4,2.8
1999,CHI,J.P. Dumont,RW,9,6,7,356,0.5271618242544825,NA,1.6,0.6
1999,CHI,Ethan Moreau,LW,9,6,-5,825,0.7669418202698142,NA,0.3,0.6
1999,CHI,Nelson Emerson,RW,4,10,8,530,0.6909898857666006,NA,0.5,0.8
1999,CHI,Doug Zmolek,D,0,14,1,1062,2.095447561426534,NA,0.4,1.9
1999,CHI,Todd White,C,5,8,-1,478,0.47212256046108253,NA,0.6,0.4
1999,CHI,Christian Laflamme,D,2,11,0,1169,2.2212602131171435,NA,0.4,2
1999,CHI,Reid Simpson,LW,5,4,2,314,0.4431490572024471,NA,0.6,0.4
1999,CHI,Dan Cleary,LW,4,5,-1,502,0.5458184722055089,NA,0,0.4
1999,CHI,Boris Mironov,D,0,9,7,291,1.0954539716489045,NA,0.6,1
1999,CHI,Jean-Yves Leroux,LW,3,5,-7,509,0.3214638010011857,NA,-0.2,0.2
1999,CHI,Brad Brown,D,1,7,-4,923,1.4438184472183726,NA,0,1.3
1999,CHI,Anders Eriksson,D,0,8,6,251,0.9419464767798733,NA,0.6,0.9
1999,CHI,Mike Maneluk,RW,4,3,2,321,0.3082476144732858,NA,0.3,0.4
1999,CHI,Josef Marha,C,2,5,5,322,0.5378999871161535,NA,0.1,0.5
1999,CHI,Dean McAmmond,C,1,4,3,189,0.3182511450294375,NA,0.1,0.3
1999,CHI,Bryan Muir,D,1,4,1,997,1.9719386530838356,NA,-0.4,1.8
1999,CHI,Jamie Allison,D,2,2,0,547,1.039374967130092,NA,0.1,0.9
1999,CHI,Eric Weinrich,D,1,3,-13,283,-0.46978738100222184,NA,0.2,-0.5
1999,CHI,Paul Coffey*,D,0,4,-6,154,-0.1723909709522914,NA,0.3,-0.2
1999,CHI,Mark Janssens,C,1,0,-11,497,0.10491918629754322,NA,-1.1,0
1999,CHI,Jeff Shantz,C,1,0,-1,107,0.07560772090525618,NA,-0.1,0.1
1999,CHI,Radim Bicanek,D,0,0,-3,112,-0.019690688676231256,NA,-0.1,0
1999,CHI,Dennis Bonvie,RW,0,0,-4,44,-0.12337534502242282,NA,-0.1,-0.1
1999,CHI,Sylvain Cloutier,C,0,0,-1,38,0.001862373386787122,NA,-0.1,0
1999,CHI,Steve Dubinsky,C,0,0,0,5,0.005343865762207902,NA,0,0
