year,team,player,goals,shots,mins,gps,gps.sr
1999,WSH,Rick Tabaracci,50,530,1193,2.970800302868599,3
1999,WSH,Mike Rosati,0,12,28,0.19009678188017232,0.2
1999,WSH,Martin Brochu,6,55,120,0.2202600093301086,0.2
2000,ATL,Damian Rhodes,101,803,1561,2.0622287059109574,2.2
2000,ATL,Norm Maracle,94,852,1618,3.508497296846366,3.8
2000,ATL,Scott Langkow,55,395,765,0.4810030133377159,0.5
2000,ATL,Scott Fankhouser,49,451,920,1.9332561481188617,2.1
2000,ATL,Rick Tabaracci,4,32,59,0.08467941611176066,0.1
2000,BOS,Byron Dafoe,114,1030,2307,4.2052299606847665,4.6
2000,BOS,John Grahame,55,609,1344,3.73065939232849,4.1
2000,BOS,Robbie Tallas,72,628,1363,2.3138656194860854,2.5
2000,BUF,Martin Biron,90,988,2229,5.974949991344183,6.5
2000,BUF,Dominik Hasek*,76,937,2066,6.604875956067215,7.2
2000,BUF,Dwayne Roloson,32,277,677,0.996326842720283,1.1
2000,CAR,Arturs Irbe,175,1858,4345,10.659596518337075,11.6
2000,CAR,Eric Fichaud,24,206,490,0.720670839221362,0.8
2000,CAR,Mark Fitzpatrick,8,68,107,0.230100072952321,0.3
2000,CGY,Fred Brathwaite,158,1664,3448,9.418961009294495,10.3
2000,CGY,Grant Fuhr*,77,536,1205,0.4152539455754033,0.5
2000,CGY,Jean-Sebastien Giguere,15,175,330,1.1527398704400957,1.3
2000,CHI,Jocelyn Thibault,158,1679,3438,9.646740662027497,10.5
2000,CHI,Steve Passmore,63,654,1388,3.6114973310902116,3.9
2000,CHI,Marc Lamothe,10,50,116,-0.24386076518659455,-0.3
2000,COL,Patrick Roy*,141,1640,3704,10.759828231225898,11.7
2000,COL,Marc Denis,51,618,1203,4.268577693686923,4.6
2000,COL,Rick Tabaracci,2,18,60,0.07271032842028013,0.1
2000,DAL,Ed Belfour*,127,1571,3620,11.116418612669328,12.1
2000,DAL,Manny Fernandez,48,603,1353,4.341735923242901,4.7
2000,DET,Chris Osgood,126,1349,3148,7.845592379650617,8.5
2000,DET,Ken Wregget,70,700,1579,3.6078332074637958,3.9
2000,DET,Manny Legace,11,117,240,0.6732423895911384,0.7
2000,EDM,Tommy Salo,162,1875,4164,12.221810948020035,13.3
2000,EDM,Bill Ranford,47,407,785,1.4657277549613845,1.6
2000,EDM,Mike Minard,3,36,60,0.24573328427021907,0.3
2000,FLA,Mike Vernon,83,1020,2019,7.1630683091821865,7.8
2000,FLA,Trevor Kidd,69,809,1574,5.36334464475324,5.8
2000,FLA,Mikhail Shtalenkov,34,369,882,2.192750124623355,2.4
2000,FLA,Sean Burke,18,208,418,1.3529172241637146,1.5
2000,FLA,Richard Shulmistra,1,21,60,0.21857888639653858,0.2
2000,LAK,Stephane Fiset,119,1208,2592,6.406652035968049,7
2000,LAK,Jamie Storr,93,1008,2206,5.9777183126992055,6.5
2000,LAK,Marcel Cousineau,6,64,171,0.369984087082839,0.4
2000,MDA,Guy Hebert,166,1805,3976,10.75758872554741,11.7
