X1,year,team,games,wins,points,goals,goals.against,team.dps,team.ops,team.gps,dps.avg,ops.avg,gps.avg,team.ps,dps.prop,dps.prop.adj,ops.prop,ops.prop.adj,dps.full.prop,dps.full.prop.adj
110,2002,SJS,82,44,99,248,199,42.19014099824443,88.11585549069477,14.5356960133948,0.514513914612737,1.0745836035450582,0.17726458552920488,144.841692502334,0.2912845070321487,-0.04716204317778788,0.6083597475863164,0.05765455313657719,0.39164025241368355,-0.05765455313657719
111,2002,STL,82,43,98,227,188,49.287855888598074,77.16561873703652,8.616747230447048,0.6010714132755862,0.9410441309394698,0.10508228329813474,135.07022185608164,0.3649054189095407,0.02645886869960412,0.5713000073343856,0.020594812884646374,0.4286999926656145,-0.020594812884646263
112,2002,TBL,82,27,69,178,219,35.64090462099509,38.31006891852272,15.519727509050846,0.43464517830481814,0.46719596242100875,0.18926496962257128,89.47070104856866,0.398352803803869,0.059906253593932424,0.4281856347333896,-0.12251955971634959,0.5718143652666103,0.12251955971634959
113,2002,TOR,82,43,100,249,207,41.561818655094186,93.49262219725306,9.408792835694182,0.5068514470133437,1.1401539292347933,0.11474137604505101,144.4632336880414,0.2876982440033436,-0.050748306206592986,0.6471724314239293,0.09646723697419013,0.3528275685760708,-0.09646723697418996
114,2002,VAN,82,42,94,254,211,39.79257129120454,98.18429447959954,9.517997400486646,0.48527525964883583,1.197369444873165,0.11607313903032496,147.49486317129072,0.2697895400261641,-0.06865701018377246,0.6656794166829718,0.11497422223323261,0.3343205833170283,-0.11497422223323245
115,2002,WSH,82,36,85,228,240,30.12579144071391,78.24092457268695,10.825238717324067,0.3673877004965111,0.9541576167400847,0.1320151063088301,119.19195473072493,0.2527502087600899,-0.08569634144984667,0.6564279002676533,0.1057227058179141,0.3435720997323467,-0.10572270581791404
116,2003,ATL,82,31,74,226,284,18.128767983704538,69.93791395307923,9.242433183645012,0.22108253638664072,0.8529013896716979,0.11271259980054893,97.30911512042877,0.18630082044491475,-0.14975975909251865,0.7187190415463627,0.16180716965571273,0.2812809584536375,-0.16180716965571257
117,2003,BOS,82,36,87,245,237,31.547162583397533,85.42343056988862,9.75747221958551,0.3847214949194821,1.0417491532913248,0.11899356365348183,126.72806537287167,0.2489358808609316,-0.0871246986765018,0.6740687654194631,0.1171568935288132,0.32593123458053685,-0.1171568935288132
118,2003,BUF,82,27,72,190,219,38.54291535118414,47.71788630667179,11.566043536321555,0.47003555306322126,0.58192544276429,0.14104931141855553,97.82684519417748,0.3939911920360912,0.057930612498657774,0.4877790570876131,-0.06913281480303685,0.5122209429123868,0.06913281480303679
119,2003,CAR,82,22,61,171,240,32.06519965427386,31.950202491270264,9.938238813818698,0.3910390201740715,0.3896366157471983,0.12119803431486217,73.95364095936283,0.4335851384503643,0.09752455891293088,0.4320301485741148,-0.12488172331653513,0.5679698514258852,0.12488172331653513
120,2003,CBJ,82,29,69,213,263,23.095894350749983,65.26510763123305,11.782118340503304,0.28165724817987786,0.7959159467223542,0.14368437000613785,100.14312032248634,0.2306288667296897,-0.10543171280774369,0.6517183349296766,0.09480646303902662,0.34828166507032343,-0.09480646303902662
121,2003,CGY,82,29,75,186,228,35.855778890591736,43.270656670460944,9.47973348514699,0.4372655962267285,0.5276909350056213,0.11560650591642671,88.60616904619968,0.4046645879915693,0.06860400845413589,0.4883481267303117,-0.06856374516033825,0.5116518732696882,0.06856374516033814
122,2003,CHI,82,30,79,207,226,35.593767503195714,59.164122883945524,11.31043532565413,0.43407033540482576,0.7215136937066527,0.13793213811773328,106.06832571279536,0.3355739544675581,-4.8662506987529053e-4,0.557792559525698,8.806876350480053e-4,0.44220744047430216,-8.806876350478943e-4
123,2003,COL,82,42,105,251,194,45.59266248545018,98.2458841792749,14.268489053731221,0.5560080790908558,1.1981205387716451,0.17400596406989294,158.1070357184563,0.288365804078686,-0.047694775458747396,0.6213884393748479,0.06447656748419794,0.37861156062515205,-0.064476567484198
124,2003,DAL,82,46,111,245,169,53.80050817301632,88.25085433790424,12.863096756239136,0.6561037582075161,1.0762299309500518,0.1568670336126724,154.9144592671597,0.3472917145857506,0.011231135048317187,0.5696747402107256,0.012762868320075671,0.43032525978927433,-0.012762868320075726
125,2003,DET,82,48,110,269,203,41.388028191714064,105.11351498880167,13.679312658771556,0.5047320511184642,1.2818721340097765,0.16682088608257994,160.1808558392873,0.2583831131058478,-0.07767746643158563,0.6562177136465309,0.09930584175588097,0.34378228635346914,-0.09930584175588092
126,2003,EDM,82,36,92,231,230,35.388516445921795,79.38841458830571,9.732424455612888,0.4315672737307536,0.9681513974183623,0.11868810311723034,124.50935548984039,0.2842237541644764,-0.051836825372956974,0.6376100356152239,0.08069816372457395,0.36238996438477605,-0.080698163724574
127,2003,FLA,82,24,70,176,237,30.96184501522162,34.38355078040142,15.72397687916854,0.3775834757953856,0.41931159488294417,0.19175581559961632,81.06937267479157,0.38191790553782307,0.045857326000389664,0.42412503817354624,-0.1327868337171037,0.5758749618264539,0.13278683371710387
128,2003,LAK,82,33,79,203,221,39.641709211187035,57.411187813097484,9.273919126941184,0.4834354781852077,0.7001364367450913,0.11309657471879493,106.3268161512257,0.3728288934637686,0.03676831392633517,0.5399502203794303,-0.016961651511219644,0.4600497796205697,0.016961651511219644
129,2003,MDA,82,40,95,203,193,45.51261778040605,60.58124360984618,15.286193907391075,0.5550319241512933,0.738795653778612,0.18641699887062288,121.38005529764332,0.3749596065745878,0.03889902703715442,0.4991037733612106,-0.057808098529439356,0.5008962266387893,0.057808098529439245
130,2003,MIN,82,42,95,198,178,48.15029797936768,53.05505490779425,15.488889908406282,0.5871987558459473,0.6470128647291982,0.18888890132202782,116.6942427955682,0.41261931030925136,0.07655873077181796,0.4546501492857638,-0.10226172260488614,0.5453498507142363,0.1022617226048862
131,2003,MTL,82,30,77,206,234,32.082237705846616,59.347851122353106,15.440303105832447,0.3912468012908124,0.7237542819799159,0.1882963793394201,106.87039193403217,0.30019762373146347,-0.03586295580596993,0.5553254746084091,-0.001586397282240859,0.44467452539159097,0.0015863972822409145
132,2003,NJD,82,46,108,216,166,56.261673548524,67.44284992279881,11.279050288805774,0.6861179701039513,0.822473779546327,0.13754939376592407,134.9835737601286,0.4168038523598681,0.08074327282243471,0.4996374599078815,-0.05727441198276845,0.5003625400921186,0.0572744119827685
133,2003,NSH,82,27,74,183,206,42.012563484619996,30.716255700275536,11.94749426577257,0.5123483351782926,0.37458848414970164,0.1457011495825923,84.67631345066809,0.49615484865311554,0.16009426911568214,0.36274909060809124,-0.1941627812825587,0.6372509093919089,0.19416278128255882
134,2003,NYI,82,35,83,224,231,36.601758488998804,61.92426201865954,11.111662497739133,0.44636290840242443,0.7551739270568236,0.13550807924072114,109.63768300539748,0.33384286757680653,-0.002217711960626867,0.5648081966089251,0.007896324718275172,0.43519180339107494,-0.007896324718275116
135,2003,NYR,82,32,78,210,231,34.48762146238371,47.316945095863,12.207327325023822,0.42058074954126473,0.5770359158032073,0.14886984542711978,94.01189388327053,0.366843173111746,0.030782593574312622,0.5033080724297915,-0.05360379946085847,0.4966919275702084,0.05360379946085836
136,2003,OTT,82,52,113,263,182,49.17208864004587,97.60270090900458,10.878687951268793,0.599659617561535,1.1902768403537145,0.13266692623498527,157.65347750031927,0.31189980341503276,-0.02416077612240064,0.6190964034320583,0.06218453154140835,0.3809035965679416,-0.06218453154140846
137,2003,PHI,82,45,107,211,166,55.47765977675451,52.62129586297327,12.48154546829357,0.6765568265457866,0.6417231202801619,0.15221396912553134,120.58050110802135,0.46008815079525306,0.12402757125781966,0.4363997112255553,-0.12051216066509463,0.5636002887744447,0.12051216066509463
138,2003,PHX,82,31,78,204,230,34.74995701383515,57.83952029886206,12.834528053144473,0.4237799635833555,0.7053600036446593,0.15651863479444478,105.42400536584168,0.3296209140721421,-0.006439665465291289,0.5486370973873336,-0.008274774503316373,0.4513629026126665,0.008274774503316429
139,2003,PIT,82,27,65,189,255,26.885201672466785,43.80209675456309,11.406502091455312,0.3278683130788632,0.5341719116410133,0.13910368404213797,82.09380051848518,0.3274936901771651,-0.008566889360268282,0.5335615658907168,-0.023350305999933152,0.4664384341092833,0.023350305999933263
140,2003,SJS,82,28,73,214,239,32.09592123031643,62.27337348768896,10.87406052075353,0.39141367354044426,0.7594313839962068,0.13261049415553083,105.24335523875892,0.30496862398108127,-0.031091955556352135,0.591708363406063,0.034796491515413086,0.40829163659393686,-0.0347964915154132
141,2003,STL,82,41,99,253,222,38.92603215562545,93.18770562523899,7.696914189798629,0.4747077092149445,1.136435434454134,0.09386480719266621,139.81065197066306,0.27841964547732334,-0.05764093406011006,0.6665279384062445,0.10961606651559452,0.3334720615937556,-0.10961606651559447
142,2003,TBL,82,36,93,219,210,40.550557464440296,69.04109683432665,12.368981194181968,0.4945189934687841,0.8419645955405689,0.15084123407538985,121.96063549294891,0.3324888993939746,-0.003571680143458822,0.566093285388942,0.009181413498292046,0.4339067146110581,-0.009181413498291935
143,2003,TOR,82,44,98,236,208,40.233278620391594,82.8660965205186,14.061869879615807,0.4906497392730682,1.0105621526892512,0.17148621804409522,137.161245020526,0.29332832765093914,-0.042732251886494266,0.6041509502783953,0.047239078387745326,0.3958490497216047,-0.04723907838774538
144,2003,VAN,82,45,104,264,208,42.28559668898739,101.21020547561446,10.982701621764923,0.5156780084022853,1.2342707984831032,0.13393538563127955,154.4785037863668,0.27373126779804574,-0.06232931173938766,0.6551733930280763,0.09826152113742637,0.34482660697192363,-0.09826152113742642
145,2003,WSH,82,39,92,224,220,36.80057989350015,71.60936823271852,13.581535702656634,0.4487875596768311,0.8732849784477869,0.16562848417873943,121.9914838288753,0.30166515512773423,-0.03439542440969917,0.5870030102524962,0.030091138361846292,0.4129969897475037,-0.030091138361846348
146,2004,ATL,82,33,78,214,243,29.94244583540829,68.19561283500654,10.912711346394385,0.3651517784805889,0.8316538150610554,0.1330818456877364,109.05077001680922,0.27457344712736026,-0.055008880808618765,0.6253565456208589,0.061659609723375586,0.3746434543791411,-0.06165960972337564
147,2004,BOS,82,41,104,209,188,44.439223096950805,58.86397101609737,13.70993662151884,0.5419417450847659,0.7178533050743582,0.1671943490429127,117.01313073456701,0.37977979751483526,0.050197469578856235,0.5030544063437171,-0.060642529553766145,0.4969455936562829,0.060642529553766145
148,2004,BUF,82,37,85,220,221,34.0009261080963,70.0484025954611,11.252982968912697,0.41464544034263784,0.8542488121397694,0.13723149962088654,115.3023116724701,0.2948850340891687,-0.034697293846810306,0.6075194987802317,0.04382256288274844,0.39248050121976824,-0.043822562882748495
149,2004,CAR,82,28,76,172,209,40.22754666291235,34.15759534309456,10.116058631264746,0.49057983735258964,0.4165560407694459,0.12336656867396031,84.50120063727167,0.4760588767914955,0.14647654885551648,0.4042261540131109,-0.15947078188437236,0.595773845986889,0.15947078188437225
150,2004,CBJ,82,25,62,177,238,29.50049384661088,37.18428049914337,14.062305791639858,0.3597621200806205,0.45346683535540694,0.17149153404438852,80.74708013739411,0.36534440374085,0.03576207580487095,0.46050309727451394,-0.10319383862296932,0.5394969027254861,0.10319383862296938
151,2004,CGY,82,42,94,200,176,50.902375910026166,56.988432879970766,12.573012283870888,0.6207606818295874,0.6949808887801313,0.15332941809598644,120.46382107386782,0.42255322350112967,0.09297089556515065,0.47307508903462175,-0.09062184686286151,0.5269249109653782,0.09062184686286145
152,2004,CHI,82,20,59,188,259,24.31776931739173,48.77133967310365,10.605717254254763,0.2965581624072162,0.5947724350378494,0.1293380152957898,83.69482624475015,0.29055283831140144,-0.039029489624577585,0.5827282504952077,0.019031314597724447,0.41727174950479223,-0.019031314597724502
153,2004,COL,82,40,100,236,198,42.07300470886546,87.96400049032802,13.60203487666035,0.5130854232788471,1.0727317132966832,0.16587847410561402,143.63904007585384,0.2929078660414834,-0.036674461894495636,0.6123961873030856,0.048699251405602384,0.38760381269691424,-0.048699251405602495
154,2004,DAL,82,41,97,194,175,51.927899244213464,56.505018557636646,9.846955664336985,0.6332670639538227,0.6890855921663006,0.12008482517484127,118.2798734661871,0.4390256577257685,0.10944332978978949,0.4777230216921888,-0.08597391420529449,0.5222769783078112,0.08597391420529443
155,2004,DET,82,48,109,255,189,45.964881109683546,98.78591959056106,11.960610216033706,0.5605473306058969,1.2047063364702568,0.145861100195533,156.7114109162783,0.29330908860389165,-0.03627323933208737,0.6303683887023172,0.06667145280483389,0.36963161129768296,-0.06667145280483378
156,2004,EDM,82,36,89,221,208,38.88837055714126,71.11653189629783,10.139108056487924,0.47424842142855195,0.8672747792231442,0.12364765922546249,120.14401050992701,0.32368130872348455,-0.005901019212494474,0.5919274010785728,0.028230465181089515,0.4080725989214272,-0.028230465181089515
157,2004,FLA,82,28,75,188,221,32.03562577565896,45.80622175284303,18.400544118282884,0.39067836311779214,0.5586124604005247,0.22439687949125467,96.24239164678487,0.33286398257050337,0.0032816546345243447,0.47594641996174103,-0.08775051593574223,0.524053580038259,0.08775051593574223
158,2004,LAK,82,28,81,205,217,38.151829394000885,63.886023343507055,10.376519609479026,0.465266212121962,0.779097845652525,0.1265429220668174,112.41437234698697,0.339385690614706,0.009803362678727001,0.5683083222340243,0.004611386336541012,0.4316916777659757,-0.004611386336541012
159,2004,MDA,82,29,76,184,213,36.60975002181007,46.07906899330492,13.766118822627739,0.446460366119635,0.5619398657720113,0.16787949783692366,96.45493783774273,0.3795528859641721,0.04997055802819306,0.4777263873293817,-0.08597054856810155,0.5222736126706182,0.08597054856810149
160,2004,MIN,82,30,83,188,183,43.26751682696817,47.71498615151516,15.664693657072437,0.5276526442313192,0.5818900750184776,0.19103284947649313,106.64719663555576,0.40570702458148766,0.07612469664550864,0.4474096615457323,-0.11628727435175096,0.5525903384542679,0.11628727435175112
161,2004,MTL,82,41,93,208,192,42.593862595725824,65.12908773045179,14.212995582548482,0.5194373487283637,0.794257167444534,0.17332921442132296,121.9359459087261,0.3493134225375102,0.019731094601531163,0.5341254151520135,-0.02957152074546976,0.46587458484798644,0.029571520745469704
162,2004,NJD,82,43,100,213,164,54.151458262187155,71.38622212875418,12.173965245331543,0.6603836373437458,0.8705636844970023,0.14846299079672612,137.7116456362729,0.393223521598262,0.06364119366228299,0.5183746211072162,-0.04532231479026705,0.4816253788927837,0.04532231479026694
163,2004,NSH,82,38,91,216,217,37.94287203423914,72.60073036933491,12.270915112569547,0.46271795163706264,0.8853747606016452,0.14964530625084813,122.81451751614361,0.308944518951122,-0.02063780898485701,0.5911412741558973,0.02744433825841408,0.4088587258441025,-0.027444338258414247
164,2004,NYI,82,38,91,237,210,37.255615869988354,82.67315539250832,10.7409925101836,0.454336778902297,1.00820921210376,0.1309877135388244,130.66976377268026,0.2851127513691699,-0.04446957656680911,0.632687723659857,0.06899078776237377,0.36731227634014313,-0.0689907877623736
165,2004,NYR,82,27,69,206,250,25.26789142169058,65.82895077168165,9.140046006700082,0.30814501733769,0.8027920825814835,0.11146397569146442,100.23688820007231,0.25208176226755963,-0.0775005656684194,0.6567337828792869,0.09303684698180359,0.3432662171207131,-0.09303684698180364
166,2004,OTT,82,43,102,262,189,45.41386868994066,103.51274592224368,10.135507743105714,0.5538276669504958,1.262350560027362,0.12360375296470383,159.06212235529003,0.28551026490456166,-0.04407206303141736,0.6507692993749439,0.08707236347746061,0.3492307006250563,-0.08707236347746045
167,2004,PHI,82,40,101,229,186,45.92711080775724,84.44247500890064,11.08400210210704,0.5600867171677711,1.0297862805963494,0.13517075734276876,141.45358791876492,0.32467971638960913,-0.004902611546369895,0.5969624118505564,0.033265475953073165,0.40303758814944357,-0.033265475953073165
168,2004,PHX,82,22,68,188,245,27.51428857819682,49.6158269749174,11.537645225313236,0.33554010461215633,0.6050710606697244,0.14070299055260044,88.66776077842746,0.31030769624319804,-0.019274631692780986,0.5595700910830799,-0.0041268448144033965,0.4404299089169199,0.004126844814403174
169,2004,PIT,82,23,58,190,303,11.907190035174802,53.98656755385796,9.181820771299273,0.14520963457530245,0.6583727750470483,0.11197342404023504,75.07557836033203,0.1586027080340982,-0.17097961990188082,0.719096259168921,0.15539932327143768,0.28090374083107905,-0.15539932327143768
170,2004,SJS,82,43,104,219,183,45.02891003739789,74.17393451812984,15.437510209236864,0.5491330492365597,0.904560177050364,0.1882623196248398,134.6403547647646,0.33443843872863865,0.004856110792659629,0.5509041820910381,-0.012792753806445178,0.4490958179089619,0.012792753806445178
171,2004,STL,82,39,91,191,198,42.79810933625769,52.255063372462075,10.295846621197894,0.5219281626372889,0.637256870395879,0.12555910513655968,105.34901932991765,0.4062506666742518,0.07666833873827278,0.4960185078592598,-0.06767842803822344,0.5039814921407403,0.06767842803822355
172,2004,TBL,82,46,106,245,192,45.178370960808294,92.88188162527845,10.81446487170031,0.5509557434244914,1.1327058734790054,0.13188371794756476,148.87471745778703,0.30346570413219076,-0.026116623803788264,0.6238929162140296,0.06019598031654638,0.3761070837859706,-0.06019598031654616
173,2004,TOR,82,45,103,242,204,40.51285570767297,93.49330043602323,10.426653036786576,0.49405921594723134,1.1401622004393077,0.12715430532666555,144.4328091804828,0.28049621092011184,-0.04908611701586718,0.6473134529924865,0.08361651709500328,0.35268654700751334,-0.0836165170950034
174,2004,VAN,82,43,101,235,194,42.89607556781439,88.08408399586895,11.567756705788703,0.5231228727782243,1.0741961462910847,0.14107020372913054,142.54791626947204,0.30092390468005026,-0.028658423255928767,0.6179261423180339,0.054229206420550624,0.3820738576819662,-0.05422920642055051
175,2004,WSH,82,23,59,186,253,24.425398333399055,49.646372682175674,11.952106798832368,0.2978707113829153,0.6054435692948252,0.1457573999857606,86.02387781440709,0.283937424747299,-0.04564490318868003,0.5771231656085726,0.01342622971108931,0.4228768343914275,-0.013426229711089255
176,2006,ATL,82,41,90,276,270,33.50802517039371,71.04583898598976,10.472161216114904,0.40863445329748427,0.8664126705608507,0.12770928312335247,115.02602537249837,0.2913082066591615,-0.04296113897616394,0.6176501253165629,0.05457250537613079,0.3823498746834372,-0.054572505376130676
177,2006,BOS,82,29,74,228,258,36.196221812865666,41.0217042083922,13.484912850865323,0.4414173391812886,0.5002646854681976,0.16445015671786978,90.7028388721232,0.3990638249360273,0.06479447930070187,0.4522648322642512,-0.11081278767618097,0.5477351677357487,0.11081278767618086
178,2006,BUF,82,52,110,276,234,42.535746042335454,86.03736318421895,13.712486412488953,0.5187286102723836,1.049236136392914,0.16722544405474332,142.28559563904335,0.2989462556016007,-0.03532309003372475,0.6046807675633062,0.04160314762287409,0.3953192324366938,-0.04160314762287404
179,2006,CAR,82,52,112,286,258,36.208025184585416,87.3741608936083,11.606326343314255,0.44156128273884654,1.0655385474830281,0.14154056516236896,135.188512421508,0.26783359426051984,-0.06643575137480562,0.6463135020021672,0.08323588206173504,0.35368649799783275,-0.0832358820617351
180,2006,CBJ,82,35,74,215,276,31.528341992868626,37.69580241000932,13.81240296444097,0.38449197552278813,0.45970490743913806,0.16844393859074355,83.03654736731892,0.379692352253044,0.04542300661771853,0.45396639919599346,-0.10911122074443869,0.5460336008040065,0.10911122074443869
181,2006,CGY,82,46,103,216,193,56.29513941777684,42.2759845772293,13.995121950612498,0.6865260904606931,0.5155607875271866,0.17067221890990852,112.56624594561863,0.5001067499841234,0.16583740434879796,0.37556537683288344,-0.18751224310754872,0.6244346231671166,0.18751224310754877
182,2006,CHI,82,26,65,209,279,32.002191897920596,36.3847166296885,8.830392265696718,0.3902706329014707,0.4437160564596158,0.10768771055727705,77.21730079330581,0.4144432862731581,0.08017394063783262,0.47119902218652526,-0.09187859775390689,0.5288009778134748,0.09187859775390694
183,2006,COL,82,43,95,280,251,40.152540690736096,89.2354962405333,11.255208920685241,0.48966513037483045,1.0882377590308938,0.13725864537421026,140.64324585195465,0.2854921361314562,-0.04877720950386927,0.6344812059760431,0.07140358603561092,0.36551879402395687,-0.07140358603561098
184,2006,DAL,82,53,112,253,217,50.289401360278696,74.73944267071234,9.659668419005161,0.6132853824424231,0.9114566179355162,0.11780083437811172,134.68851244999618,0.37337557929410575,0.0391062336587803,0.5549058439446329,-0.008171775995799213,0.4450941560553671,0.008171775995799269
185,2006,DET,82,58,124,301,206,52.83459364949728,105.12125766960366,11.827395184808827,0.6443243127987474,1.281966556946386,0.1442365266440101,169.78324650390977,0.3111884990859838,-0.02308084654934167,0.6191497679200223,0.05607214797959015,0.3808502320799777,-0.05607214797959015
186,2006,EDM,82,41,95,249,242,43.78768207454666,69.45501291819075,7.625211212485417,0.5339961228603252,0.8470123526608627,0.09299038064006607,120.86790620522281,0.3622771623113841,0.028007816676058672,0.5746356919616229,0.011558072021190746,0.4253643080383772,-0.011558072021190635
187,2006,FLA,82,37,85,236,252,36.09890583109517,58.57995158577631,16.846042632864535,0.4402305589157948,0.7143896534850769,0.20543954430322603,111.52490004973602,0.3236847180763792,-0.010584627558946236,0.5252634304953584,-0.037814189445073754,0.47473656950464155,0.0378141894450737
188,2006,LAK,82,42,89,243,269,35.013668947750155,67.5813017806009,10.453396756200815,0.4269959627774409,0.8241622168365963,0.1274804482463514,113.04836748455187,0.3097229064589083,-0.024546439176417134,0.5978087369535515,0.03473111701311937,0.4021912630464484,-0.03473111701311943
189,2006,MDA,82,43,98,251,222,47.01649642438682,70.94821184811714,13.860754986938133,0.5733719076144734,0.8652220957087456,0.16903359740168455,131.8254632594421,0.35665716821229704,0.022387822576971583,0.5381980847545811,-0.024879535185851065,0.4618019152454188,0.024879535185850954
190,2006,MIN,82,38,84,226,212,48.30229829142486,56.903808264056586,15.095934070479945,0.589052418188108,0.6939488812689828,0.1840967569570725,120.3020406259614,0.40150855330546353,0.06723920767013808,0.4730078390023306,-0.09006978093810153,0.5269921609976693,0.09006978093810147
191,2006,MTL,82,42,93,241,244,40.54115732829938,64.74749122619903,12.929028240171165,0.49440435766218754,0.7896035515390126,0.15767107609964837,118.21767679466957,0.3429365085452887,0.008667162909963222,0.5476972055427711,-0.015380414397661024,0.4523027944572288,0.015380414397660969
192,2006,NJD,82,46,101,233,225,45.57642685069143,62.19170900299412,13.018674627245314,0.5558100835450175,0.7584354756462698,0.15876432472250382,120.78681048093087,0.37732950037526475,0.043060154739939294,0.5148882461203211,-0.048189373820111014,0.48511175387967886,0.048189373820111014
193,2006,NSH,82,49,106,253,224,43.368624936254896,76.92083502530117,16.414594053692472,0.528885669954328,0.9380589637231851,0.20017797626454234,136.70405401524854,0.31724461464337683,-0.017024730991948622,0.5626814477405411,-3.961721998910761e-4,0.437318552259459,3.961721998911316e-4
194,2006,NYI,82,36,78,221,275,33.96324162433941,55.17061157180209,11.354304537142385,0.4141858734675538,0.672812336241489,0.1384671285017364,100.48815773328388,0.3379825283938909,0.0037131827585654698,0.5490260028274792,-0.014051617112952997,0.45097399717252085,0.014051617112952997
195,2006,NYR,82,44,100,250,211,49.88647682117554,73.75457563297704,13.682354383306548,0.6083716685509213,0.899446044304598,0.1668579802842262,137.32340683745912,0.3632773026103478,0.029007956975022342,0.5370867016158111,-0.025990918324621082,0.462913298384189,0.025990918324621137
196,2006,OTT,82,52,113,312,205,51.03329518883959,114.90609831160137,13.791175698042228,0.6223572584004828,1.4012938818487972,0.16818506948831985,179.73056919848318,0.2839433237007201,-0.050326021934605336,0.6393241774286391,0.07624655748820697,0.3606758225713608,-0.07624655748820702
197,2006,PHI,82,45,101,263,253,39.40704061898877,78.85594866254542,10.51393728346118,0.48057366608522895,0.9616579105188465,0.12821874735928268,128.77692656499536,0.30601010344115903,-0.028259242194166423,0.6123453227682508,0.04926770282781867,0.3876546772317493,-0.04926770282781856
198,2006,PHX,82,38,81,242,268,34.93320442426934,71.31356924513818,10.745686757581069,0.42601468810084564,0.8696776737211973,0.13104496045830571,116.9924604269886,0.2985936384000581,-0.03567570723526736,0.6095569661913623,0.0464793462509302,0.39044303380863765,-0.0464793462509302
199,2006,PIT,82,22,58,243,310,22.736435948407927,71.97153551695006,10.332931403301263,0.27727360912692595,0.8777016526457324,0.12601135857684467,105.04090286865924,0.21645316564764347,-0.11781617998768198,0.6851762842037032,0.1220986642632711,0.31482371579629675,-0.1220986642632711
200,2006,SJS,82,44,99,265,235,44.55815141243567,83.40737271877173,9.27773203055075,0.5433920903955569,1.0171630819362405,0.11314307354330183,137.24325616175813,0.3246655074980033,-0.00960383813732213,0.6077338519312442,0.044656231990812034,0.392266148068756,-0.04465623199081187
201,2006,STL,82,21,57,193,284,31.234042213780004,36.22103799496841,9.999552271217734,0.3809029538265854,0.44171997554839526,0.12194575940509432,77.45463247996615,0.4032559604728455,0.06898661483752005,0.4676419838973102,-0.09543563604312194,0.5323580161026897,0.09543563604312189
202,2006,TBL,82,43,92,246,256,39.75257366694983,73.01178836068917,8.986057730791666,0.4847874837432906,0.8903876629352337,0.10958606988770324,121.75041975843067,0.3265087196070808,-0.007760626028244677,0.5996840791641987,0.036606459223766596,0.40031592083580114,-0.03660645922376671
203,2006,TOR,82,41,90,254,263,36.036736809882484,78.74312441197677,11.412516256769964,0.4394724001205181,0.9602820050241069,0.13917702752158492,126.19237747862921,0.28556983813055853,-0.048699507504766926,0.6239927164008934,0.06091509646046123,0.37600728359910657,-0.06091509646046128
204,2006,VAN,82,42,92,252,251,38.567723159111864,77.57455343704345,11.717681699556428,0.47033808730624227,0.9460311394761396,0.14289855731166376,127.85995829571173,0.30164035459727956,-0.032628991038045896,0.6067149909249204,0.04363737098448828,0.39328500907507963,-0.04363737098448822
205,2006,WSH,82,29,70,230,300,25.086618077778468,55.329210516086995,13.412112583819932,0.30593436680217645,0.674746469708378,0.1635623485831699,93.82794117768539,0.2673683101526338,-0.06690103548269166,0.5896879950856861,0.026610375145253995,0.41031200491431385,-0.026610375145253995
206,2007,ANA,82,48,110,254,198,51.42669382663784,88.27201118274546,12.668115460264575,0.627154802763876,1.0764879412529933,0.1544892129300558,152.36682046964788,0.3375189799729545,7.986567325415361e-4,0.5793388016541936,0.0166848863162522,0.4206611983458064,-0.0166848863162522
207,2007,ATL,82,43,97,239,241,37.601949048909454,71.54475251356654,13.606994724270626,0.45856035425499336,0.8724969818727626,0.1659389600520808,122.7536962867466,0.30632029980647707,-0.030400023433935885,0.582831757232316,0.02017784189437455,0.4171682427676842,-0.020177841894374382
208,2007,BOS,82,35,76,210,285,25.80451476412352,54.35378823191972,12.129230115459016,0.3146892044405307,0.662851075999021,0.14791744043242702,92.28753311150226,0.2796099743282376,-0.05711034891217537,0.5889613298716003,0.026307414533658924,0.4110386701283996,-0.02630741453365898
209,2007,BUF,82,53,113,298,238,37.666436899694254,120.87591606029962,13.035230198216638,0.45934679145968604,1.474096537320727,0.15896622192947119,171.57758315821053,0.21953005868466097,-0.11719026455575199,0.7044971367200151,0.14184322138207373,0.2955028632799847,-0.1418432213820739
210,2007,CAR,82,40,88,241,248,37.38464788911128,78.8782513663192,9.836889906545341,0.45591034011111314,0.9619298947112098,0.11996207203104074,126.09978916197582,0.29646875809673645,-0.040251565143676504,0.6255224682810507,0.06286855294310933,0.37447753171894926,-0.06286855294310933
211,2007,CBJ,82,33,73,196,244,37.66358447780237,44.50044128281935,10.011105618852984,0.4593120058268581,0.5426883083270653,0.12208665388845102,92.17513137947469,0.4086089589907457,0.07188863575033272,0.48278142506373023,-0.07987249027421117,0.5172185749362699,0.07987249027421128
212,2007,CGY,82,43,96,255,221,44.193665125434,72.47579401579512,14.397238140520056,0.5389471356760244,0.8838511465340868,0.17557607488439092,131.06669728174916,0.3371845483405486,4.642251001356623e-4,0.5529687977106543,-0.009685117627287076,0.4470312022893458,0.009685117627287188
213,2007,CHI,82,31,71,195,251,36.59994832955599,32.73612905908207,10.533813883412257,0.4463408332872682,0.3992210860863667,0.12846114491966168,79.86989127205032,0.45824462443413616,0.1215243011937232,0.4098682061251002,-0.15278570921284118,0.5901317938748997,0.15278570921284107
