X1,year,team,games,wins,points,goals,goals.against,team.dps,team.ops,team.gps,dps.avg,ops.avg,gps.avg,team.ps,dps.prop,dps.prop.adj,ops.prop,ops.prop.adj,dps.full.prop,dps.full.prop.adj
30,2000,BUF,82,35,85,213,204,44.09526291650071,57.3289169629387,13.576152790131681,0.5377471087378135,0.6991331336943744,0.16556283890404488,115.0003326695711,0.38343595964369104,0.05492849769875835,0.4985108793351155,-0.05823909236889191,0.5014891206648844,0.058239092368891854
31,2000,CAR,82,37,84,217,216,42.00423199050713,62.93987675925543,11.610367430510758,0.5122467315915503,0.7675594726738466,0.14158984671354582,116.55447618027333,0.3603828301329219,0.031875368187989195,0.5400039434084635,-0.016746028295543947,0.45999605659153636,0.016746028295543836
32,2000,CGY,82,31,77,211,256,29.010325308170028,61.327576894287475,10.986954825309994,0.3537844549776833,0.7478972791986277,0.13398725396719505,101.3248570277675,0.2863100542073296,-0.04219740773760311,0.6052569793163488,0.04850700761234139,0.39474302068365114,-0.04850700761234139
33,2000,CHI,82,33,78,242,245,33.79409568238097,79.2674416613564,13.014377227931114,0.4121231180778167,0.9666761178214195,0.15871191741379406,126.07591457166848,0.2680456120202923,-0.060461849924640376,0.628727873445617,0.07197790174160956,0.371272126554383,-0.0719779017416095
34,2000,COL,82,42,96,233,201,45.07847647685078,73.21981056979125,15.1011162533331,0.5497375180103754,0.8929245191437958,0.18415995430894025,133.39940329997512,0.33792112529531226,0.009413663350379575,0.5488765973348616,-0.007873374369145814,0.4511234026651385,0.00787337436914598
35,2000,DAL,82,43,102,211,184,51.14643996796726,59.30547532202995,15.458154535912229,0.6237370727800885,0.7232375039271945,0.1885140797062467,125.91006982590943,0.40621405451275894,0.07770659256782625,0.4710145535144976,-0.0857354181895098,0.5289854464855025,0.08573541818950997
36,2000,DET,82,48,108,278,210,42.35763914903133,104.63136273260717,12.126667976705551,0.516556574988187,1.275992228446429,0.14788619483787258,159.11566985834406,0.26620658535228536,-0.062300876592647325,0.65758050621763,0.10083053451362256,0.34241949378236997,-0.10083053451362256
37,2000,EDM,82,32,88,226,212,39.79257641574,59.50355237624449,13.933271987251638,0.48527532214317076,0.7256530777590792,0.16991795106404436,113.22940077923614,0.35143325092149663,0.022925788976563943,0.5255132674618568,-0.031236704242150637,0.47448673253814316,0.031236704242150637
38,2000,FLA,82,43,98,244,209,41.202808479665684,73.58105320764099,16.290659189119033,0.5024732741422644,0.8973299171663536,0.19866657547706137,131.0745208764257,0.31434643593708667,-0.014161026007846023,0.5613680882878195,0.00461811658381206,0.43863191171218047,-0.00461811658381206
39,2000,LAK,82,39,94,245,228,38.24287216306746,74.2823352616334,12.754354435750093,0.4663764897935056,0.9058821373369927,0.1555409077530499,125.27956186045095,0.3052602642852969,-0.023247197659635788,0.592932591386108,0.03618261968210057,0.40706740861389207,-0.03618261968210046
40,2000,MDA,82,34,83,217,227,38.222210182402804,53.454303509146364,12.298795130284097,0.4661245144195464,0.651881750111541,0.14998530646687921,103.97530882183325,0.36760852759666646,0.03910106565173377,0.5141057440929838,-0.0426442276110236,0.48589425590701635,0.04264422761102382
41,2000,MTL,82,35,83,196,194,46.11148051421565,39.19325205788887,15.25940180013654,0.562335128222142,0.4779664885108399,0.18609026585532368,100.56413437224106,0.45852809057683197,0.13002062863189928,0.3897338977016787,-0.1670160740023287,0.6102661022983212,0.1670160740023287
42,2000,NJD,82,45,103,251,203,44.65611172490855,77.54655446484028,11.966509910818488,0.5445867283525433,0.9456896885956132,0.14593304769290838,134.1691761005673,0.3328343589993896,0.004326897054456935,0.5779759309747479,0.021225959270740447,0.4220240690252522,-0.021225959270740336
43,2000,NSH,82,28,70,199,240,32.403759543884675,43.026168894840815,14.468950782931582,0.39516779931566676,0.5247093767663514,0.17645061930404368,89.89887922165707,0.3604467577842556,0.03193929583932292,0.47860628816911444,-0.07814368353489298,0.5213937118308857,0.07814368353489315
44,2000,NYI,82,24,58,194,275,23.006367831518585,36.399803892691864,14.81829383166301,0.2805654613599827,0.443900047471852,0.18071090038613427,74.22446555587346,0.30995666535584865,-0.01855079658908404,0.49040169733915323,-0.06634827436485419,0.5095983026608467,0.06634827436485419
45,2000,NYR,82,29,73,218,246,31.46528719047969,57.6869927534512,13.062253578697035,0.38372301451804497,0.7034999116274536,0.15929577534996384,102.21453352262793,0.3078357461125037,-0.020671715832428994,0.5643717264598251,0.007621754755817722,0.43562827354017475,-0.007621754755817778
46,2000,OTT,82,41,95,244,210,43.06804597552258,72.79549667612123,10.532210407574565,0.5252200728722266,0.8877499594648931,0.1284415903362752,126.39575305921838,0.3407396604167905,0.012232198471857803,0.575933090426032,0.019183118722024606,0.424066909573968,-0.01918311872202455
47,2000,PHI,82,45,105,237,179,53.031336940702786,69.46346090368384,11.999120036861385,0.6467236212280828,0.8471153768741931,0.14633073215684617,134.49391788124802,0.39430286347615384,0.06579540153122115,0.5164803137418965,-0.040269657962110905,0.48351968625810343,0.040269657962110905
48,2000,PHX,82,39,90,232,228,37.26675419388187,70.68398892483413,13.252253449271969,0.45447261212051066,0.8619998649370015,0.16161284694234107,121.20299656798795,0.3074738682139542,-0.02103359373097846,0.5831868099497396,0.026436838245732175,0.4168131900502606,-0.026436838245731953
49,2000,PIT,82,37,88,241,236,34.47747781060194,79.33125543676654,12.698701936595638,0.4204570464707554,0.9674543345947139,0.15486221873897119,126.50743518396412,0.27253321324921026,-0.05597424869572243,0.6270876911021467,0.07033771939813926,0.37291230889785326,-0.07033771939813926
50,2000,SJS,82,35,87,225,214,40.20973181652202,65.0954113131808,14.750510415735416,0.4903625831283174,0.7938464794290342,0.17988427336262702,120.05565354543825,0.33492576675119745,0.006418304806264763,0.542210294899138,-0.01453967680486945,0.4577897051008621,0.014539676804869561
51,2000,STL,82,51,114,248,165,58.01563663085801,83.91879131112988,11.24995109635924,0.7075077637909514,1.0233998940381692,0.13719452556535658,153.18437903834715,0.378730762203467,0.05022330025853433,0.5478286483122552,-0.008921323391752223,0.4521713516877447,0.008921323391752167
52,2000,TBL,82,19,54,204,310,14.454485522590877,51.03505297480472,7.456267629191923,0.17627421369013266,0.6223786948146918,0.0909300930389259,72.94580612658753,0.19815375674246555,-0.13035370520246714,0.6996297071039331,0.1428797353999257,0.3003702928960668,-0.1428797353999257
53,2000,TOR,82,45,100,246,222,37.60392786836308,78.7802427777372,14.388383391581938,0.4585844861995498,0.9607346680211853,0.17546809014124315,130.7725540376822,0.28755214077663027,-0.040955321168302417,0.6024218411688788,0.04567186946487134,0.3975781588311214,-0.04567186946487112
54,2000,VAN,82,30,83,227,237,35.00697770479698,64.70083548208764,11.711656774752647,0.4269143622536217,0.7890345790498493,0.14282508261893473,111.41946996163728,0.3141908475857065,-0.01431661435922621,0.5806959547049068,0.02394598300089934,0.4193040452950932,-0.02394598300089934
55,2000,WSH,82,44,102,227,194,45.73814680045407,67.54628492293605,15.265386343982282,0.5577822780543179,0.823735181987025,0.1861632480973449,128.5498180673724,0.35580094540844004,0.02729348346350735,0.5254483120896782,-0.03130165961432918,0.47455168791032176,0.031301659614329236
56,2001,ATL,82,23,60,211,289,19.98350982691216,55.1127387346205,11.684792953588373,0.24370133935258734,0.6721065699343963,0.14249747504376065,86.78104151512103,0.23027506328591557,-0.11060858473653074,0.635078097386253,0.08610559895586456,0.364921902613747,-0.08610559895586462
