X1,year,team,games,wins,ot.wins,ot.losses,goals,goals.against,points,team.dps,team.ops,team.gps,dps.avg,ops.avg,gps.avg,team.ps,dps.prop,dps.prop.adj,ops.prop,ops.prop.adj,dps.full.prop,dps.full.prop.adj,champ
1,1999,MDA,4,0,0,0,6,17,0,-0.2008655754547316,-0.13184457642874817,0.13604347496146826,-0.0502163938636829,-0.03296114410718704,0.034010868740367066,-0.19666667692201148,1.0213503304089753,0.5865631105775129,0.6703961163742619,0.1956811701820368,0.3296038836257383,-0.19568117018203673,0
2,1999,OTT,4,0,0,1,6,12,1,1.2374929035102409,0.2573126046685111,0.257391711653247,0.3093732258775602,0.06432815116712777,0.06434792791331174,1.7521972198319988,0.7062520642675669,0.27146484443610447,0.1468513942130226,-0.32786355197920247,0.8531486057869775,0.32786355197920247,0
3,1999,EDM,4,0,0,1,7,11,1,1.389830057940654,-0.04681485455232252,1.0171839142119214,0.3474575144851635,-0.01170371363808063,0.25429597855298036,2.360199117600253,0.5888613581695481,0.15407413833808564,-0.019835129249570187,-0.4945500754417953,1.0198351292495702,0.4945500754417952,0
4,1999,CAR,6,2,1,1,10,16,4,2.635874449290914,0.8893161468241719,1.0527405397342935,0.43931240821515233,0.14821935780402865,0.17545675662238225,4.577931135849379,0.5757785276955373,0.14099130786407482,0.19426158245588598,-0.2804533637363391,0.8057384175441141,0.2804533637363391,0
5,1999,PHI,6,2,0,1,11,9,5,4.546625929860828,0.6436842492273941,1.1953439870627054,0.757770988310138,0.10728070820456569,0.19922399784378422,6.385654166150927,0.7120062896549552,0.2772190698234927,0.10080161444373785,-0.37391333174848723,0.8991983855562622,0.3739133317484872,0
6,1999,SJS,6,2,0,2,17,19,6,1.3754456229400323,5.633816360967177,1.0129362477136001,0.22924093715667204,0.9389693934945296,0.1688227079522667,8.02219823162081,0.1714549532718461,-0.2633322665596164,0.7022783778591467,0.2275634316669216,0.29772162214085335,-0.22756343166692167,0
7,1999,PHX,7,3,1,2,16,19,7,2.732868963491153,4.366251528631614,1.546645697643078,0.39040985192730754,0.6237502183759449,0.22094938537758257,8.645766189765844,0.3160933228481359,-0.11869389698332655,0.505016146955261,0.030301200763035885,0.49498385304473913,-0.030301200763035885,0
8,1999,NJD,7,3,0,1,18,21,7,2.5750139061066304,5.997058668423748,-0.13873272606901443,0.36785912944380433,0.8567226669176783,-0.01981896086700206,8.433339848461365,0.3053373814380827,-0.12944983839337976,0.711113126730911,0.2363981805386859,0.2888868732690889,-0.2363981805386861,0
9,1999,BOS,12,6,1,1,30,27,12,6.506573745459726,8.151727190700965,2.0699244539462147,0.5422144787883105,0.6793105992250804,0.1724937044955179,16.728225390106907,0.388957799989216,-0.04582941984224648,0.4873037635852221,0.012588817392996998,0.5126962364147779,-0.01258881739299711,0
10,1999,DET,10,6,1,0,31,27,11,3.538984572357579,9.886982907027273,1.4909984534908978,0.35389845723575786,0.9886982907027273,0.14909984534908977,14.91696593287575,0.23724560264349412,-0.19754161718796834,0.662801199085478,0.18808625289325287,0.337198800914522,-0.18808625289325304,0
11,1999,STL,13,6,4,3,31,33,11,6.528814379316108,6.994384695420647,1.2401835923496225,0.5022164907166237,0.5380295919554343,0.09539873787304788,14.763382667086377,0.44223024807664896,0.0074430282451865,0.4737657251826164,-9.492210096087028e-4,0.5262342748173836,9.492210096085918e-4,0
12,1999,PIT,13,6,1,2,35,36,13,4.718538509212398,10.294983793641965,1.366173318923672,0.362964500708646,0.7919218302801512,0.10509025530182092,16.379695621778033,0.2880724171051596,-0.14671480272630288,0.6285210684839596,0.15380612229173451,0.3714789315160405,-0.15380612229173451,0
13,1999,TOR,17,9,3,0,43,46,15,7.9916382187705,14.175999830131765,2.127900882112046,0.47009636581002945,0.8338823429489274,0.125170640124238,24.295538931014313,0.3289343875623531,-0.10585283226910935,0.583481595958157,0.10876664976593187,0.41651840404184304,-0.10876664976593198,0
14,1999,COL,19,11,3,1,56,54,20,6.133094358886681,20.303605132199156,3.9678718621696656,0.3227944399414043,1.0686107964315346,0.2088353611668245,30.404571353255502,0.20171619220114392,-0.23307102763031853,0.6677813311788456,0.19306638498662054,0.33221866882115436,-0.19306638498662065,0
