year,team,player,goals,shots,mins,gps
2018,COL,Andrew Hammond,6,90,137,0.6254312286699951
2018,COL,Jonathan Bernier,14,120,217,0.260175585999318
2018,LAK,Jonathan Quick,7,131,271,1.07609490718904
2018,MIN,Alex Stalock,1,16,48,0.11756258197348815
2018,MIN,Devan Dubnyk,14,152,248,0.6865449895776302
2018,NJD,Cory Schneider,6,119,202,1.0118285006628411
2018,NJD,Keith Kinkaid,9,46,92,-0.24769306069718935
2018,NSH,Juuse Saros,2,42,114,0.36836560256519896
2018,NSH,Pekka Rinne,35,363,684,1.4898537282930964
2018,PHI,Brian Elliott,14,97,177,-0.04627742282259453
2018,PHI,Michal Neuvirth,11,72,150,-0.09251215992114686
2018,PHI,Petr Mrazek,2,14,31,-0.004707625565824631
2018,PIT,Matt Murray,29,314,716,1.410708297957815
2018,SJS,Aaron Dell,2,28,47,0.18182898849968715
2018,SJS,Martin Jones,22,304,585,1.946822698049271
2018,TBL,Andrei Vasilevskiy,43,524,999,2.8700478315211355
2018,TBL,Louis Domingue,0,7,18,0.09326830703275588
2018,TOR,Curtis McElhinney,4,23,47,-0.07603547044076057
2018,TOR,Frederik Andersen,23,221,367,0.7453049377023532
2018,VEG,Marc-Andre Fleury,47,641,1259,4.04647248409167
2018,WPG,Connor Hellebuyck,40,511,1015,2.9837016207644522
2018,WPG,Steve Mason,0,7,20,0.09326830703275588
2018,WSH,Braden Holtby,50,639,1386,3.7329580369210205
2018,WSH,Philipp Grubauer,8,49,105,-0.11209880929605437
2019,BOS,Tuukka Rask,49,742,1459,4.813982140709943
2019,CAR,Curtis McElhinney,9,128,268,0.7769361472066946
2019,CAR,Petr Mrazek,30,282,660,0.7169709544693884
2019,CBJ,Sergei Bobrovsky,25,333,623,1.8661577392818507
2019,CGY,Mike Smith,17,205,319,0.9914307231502656
2019,COL,Philipp Grubauer,28,373,732,2.0906144973605247
2019,DAL,Anton Khudobin,0,5,11,0.064728670606668
2019,DAL,Ben Bishop,30,448,811,2.865962818610766
2019,NSH,Juuse Saros,1,21,45,0.17406954762311605
2019,NSH,Pekka Rinne,17,179,330,0.6548416359955923
2019,NYI,Robin Lehner,15,233,449,1.549493016397386
2019,NYI,Thomas Greiss,2,10,36,-0.06612439663644308
2019,PIT,Matt Murray,12,127,239,0.4706178063106926
2019,SJS,Aaron Dell,5,36,90,-0.022907916256438093
2019,SJS,Martin Jones,58,567,1154,1.6683608491525581
2019,STL,Jake Allen,1,4,24,-0.04600793243955515
2019,STL,Jordan Binnington,64,742,1560,3.3471191068365997
2019,TBL,Andrei Vasilevskiy,15,104,235,-0.1205066852546487
2019,TOR,Frederik Andersen,19,244,414,1.3007326160324966
2019,VEG,Marc-Andre Fleury,21,230,467,0.9239106004840473
2019,WPG,Connor Hellebuyck,16,184,360,0.8173611755271493
2019,WSH,Braden Holtby,20,233,449,1.0605386717729384
