year,team,player,goals,shots,mins,gps
2003,MDA,Jean-Sebastien Giguere,38,697,1407,6.0856900693639
2003,MDA,Martin Gerber,1,6,20,-0.02653230916549672
2003,MIN,Dwayne Roloson,25,257,579,0.9551340757428528
2003,MIN,Manny Fernandez,18,253,552,1.7156339649989967
2003,NJD,Corey Schwab,0,8,28,0.1210049947574034
2003,NJD,Martin Brodeur*,41,622,1491,4.599410077812596
2003,NYI,Garth Snow,12,134,305,0.6194009993839157
2003,NYI,Rick DiPietro,0,3,15,0.04537687303402628
2003,OTT,Patrick Lalime,34,449,1122,2.803679452818592
2003,PHI,Robert Esche,1,14,30,0.09447268559190672
2003,PHI,Roman Cechmanek,31,339,867,1.4917189406049407
2003,STL,Chris Osgood,17,183,417,0.7741263161052652
2003,TBL,John Grahame,2,48,111,0.4914578580773219
2003,TBL,Nikolai Khabibulin,26,299,644,1.4731242429856715
2003,TOR,Ed Belfour*,24,282,532,1.4505607395932876
2003,VAN,Alex Auld,1,5,20,-0.04165793351017214
2003,VAN,Dan Cloutier,45,341,833,-0.1200345839753969
2003,WSH,Olaf Kolzig,14,192,404,1.2621151009079916
2004,BOS,Andrew Raycroft,16,210,447,1.2269905111367156
2004,CGY,Miikka Kiprusoff,51,710,1655,4.536429254159713
2004,CGY,Roman Turek,0,3,19,0.04618316307038289
2004,COL,David Aebischer,23,295,662,1.6579624443894005
2004,COL,Tommy Salo,0,7,27,0.1077607138308934
2004,DAL,Marty Turco,18,119,325,-0.42462763163866046
2004,DET,Curtis Joseph,12,197,518,1.5283211971125776
2004,DET,Manny Legace,8,84,220,0.29021311407567746
2004,MTL,Jose Theodore,27,333,678,1.7414914506667292
2004,MTL,Mathieu Garon,0,6,12,0.09236632614076579
2004,NJD,Martin Brodeur*,13,133,298,0.4177159534575289
2004,NSH,Tomas Vokoun,12,197,356,1.5283211971125772
2004,NYI,Rick DiPietro,11,120,303,0.4683177764596305
2004,OTT,Martin Prusek,1,15,40,0.10555138386503399
2004,OTT,Patrick Lalime,13,139,398,0.5100822795982947
2004,PHI,Robert Esche,41,498,1061,2.5264633787214605
2004,PHI,Sean Burke,1,9,40,0.013185057724268224
2004,SJS,Evgeni Nabokov,30,461,1052,3.335879780542423
2004,STL,Chris Osgood,12,109,287,0.17361508038134615
2004,STL,Reinhard Divis,0,8,18,0.12315510152102102
